Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,num_cc,num_price
Chevrolet,Silverado Custom,4.3L V6 Gasoline,4300 cc,285 hp,180 km/h,8.5 sec,"$33,900 ",Petrol,6,413 Nm,4300.0,33900.0
Chevrolet,Spark LS,1.4L Inline-4 Gasoline,1400 cc,98 hp,180 km/h,10.9 sec,"$14,395 ",Petrol,5,127 Nm,1400.0,14395.0
Chevrolet,Traverse LT,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,7.1 sec,"$37,200 ",Petrol,7,360 Nm,3600.0,37200.0
Chevrolet,Blazer LT,2.5L Inline-4 Gasoline,2500 cc,193 hp,200 km/h,9.0 sec,"$36,100 ",Petrol,5,255 Nm,2500.0,36100.0
Chevrolet,Malibu Premier,2.0L Turbo Inline-4 Gasoline,2000 cc,250 hp,240 km/h,5.8 sec,"$34,500 ",Petrol,5,353 Nm,2000.0,34500.0
Chevrolet,Equinox RS,1.5L Turbo Inline-4 Gasoline,1500 cc,170 hp,200 km/h,8.8 sec,"$31,900 ",Petrol,5,275 Nm,1500.0,31900.0
Chevrolet,Silverado 1500 Custom,4.3L V6 Gasoline,4300 cc,285 hp,180 km/h,8.6 sec,"$34,900 ",Petrol,6,413 Nm,4300.0,34900.0
Chevrolet,Silverado 2500HD LTZ,6.6L V8 Diesel,6600 cc,445 hp,160 km/h,8.4 sec,"$56,400 ",Diesel,6,1234 Nm,6600.0,56400.0
Chevrolet,Tahoe RST,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.4 sec,"$64,100 ",Petrol,7,519 Nm,5300.0,64100.0
Chevrolet,Bolt EV Premier,Single Electric Motor,66 kWh,200 hp,150 km/h,6.5 sec,"$31,700 ",Electric,5,360 Nm,66.0,31700.0
Chevrolet,Tahoe RST,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.4 sec,"$64,100 ",Petrol,7,519 Nm,5300.0,64100.0
Chevrolet,Tahoe Z71,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.6 sec,"$66,700 ",Petrol,7,519 Nm,5300.0,66700.0
Chevrolet,Tahoe Premier,6.2L V8 Gasoline,6200 cc,420 hp,200 km/h,6.8 sec,"$71,600 ",Petrol,7,624 Nm,6200.0,71600.0
Chevrolet,Tahoe High Country,6.2L V8 Gasoline,6200 cc,420 hp,200 km/h,6.7 sec,"$76,700 ",Petrol,7,624 Nm,6200.0,76700.0
Chevrolet,Tahoe Sport Edition,6.2L V8 Gasoline,6200 cc,420 hp,200 km/h,6.8 sec,"$70,000 ",Petrol,7,624 Nm,6200.0,70000.0
GMC,Terrain,1.5L Turbo 4-cylinder,1500 cc,175 hp,190 km/h,9.5 sec,"$29,900 ",Petrol,5,275 Nm,1500.0,29900.0
GMC,Acadia,2.0L Turbo 4-cylinder,2000 cc,228 hp,200 km/h,7.8 sec,"$36,800 ",Petrol,7,350 Nm,2000.0,36800.0
GMC,Canyon,2.7L Turbo 4-cylinder,2700 cc,310 hp,190 km/h,7.6 sec,"$36,900 ",Petrol,5,583 Nm,2700.0,36900.0
GMC,Sierra 1500,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.3 sec,"$37,100 ",Petrol,6,519 Nm,5300.0,37100.0
GMC,Sierra 2500HD,6.6L V8 Diesel,6600 cc,401 hp,175 km/h,7.5 sec,"$43,900 ",Diesel,6,629 Nm,6600.0,43900.0
GMC,Sierra 3500HD,6.6L V8 Diesel,6600 cc,445 hp,175 km/h,7.4 sec,"$49,000 ",Diesel,6,1234 Nm,6600.0,49000.0
